IMEI,PROMOCODE
`082343u`,PROMOCODE_ONE
`0023940302380`,PROMOCODE_ONE
`0023940302382`,PROMOCODE_ONE
23fsd3023804sdf,PROMOCODE_ONE
`00239343202380`,PROMOCODE_ONE
23934325w3280,PROMOCODE_ONE
`0023940343380`,PROMOCODE_ONE
`002393402380`,PROMOCODE_ONE
`0023934342380`,PROMOCODE_ONE
`002394324380`,PROMOCODE_TWO
`00239324322380`,PROMOCODE_TWO
`002353352380`,PROMOCODE_TWO
`002w3rw02380`,PROMOCODE_TWO
`0023wrwr02380`,PROMOCODE_FOUR
`0025324323302380`,PROMOCODE_FOUR
`002344324322380`,PROMOCODE_FOUR
`002323432380`,PROMOCODE_FOUR
`0023923432380`,PROMOCODE_FOUR
